sex,year,last_letter,cases,pct
F,1880,a,31446,34.63711765
F,1880,b,0,0
F,1880,c,0,0
F,1880,d,609,0.670800886
F,1880,e,33352,36.73653717
F,1880,f,0,0
F,1880,g,7,0.007710355
F,1880,h,4853,5.345478978
F,1880,i,61,0.067190236
F,1880,j,0,0
F,1880,k,0,0
F,1880,l,2541,2.798858867
F,1880,m,28,0.03084142
F,1880,n,2962,3.262581647
F,1880,o,30,0.033044379
F,1880,p,0,0
F,1880,q,0,0
F,1880,r,468,0.515492306
F,1880,s,1345,1.481489641
F,1880,t,2141,2.358267153
F,1880,u,380,0.418562129
F,1880,v,0,0
F,1880,w,0,0
F,1880,x,0,0
F,1880,y,10458,11.51927038
F,1880,z,106,0.116756804
F,1881,a,31581,34.41695728
F,1881,b,0,0
F,1881,c,0,0
F,1881,d,607,0.661508282
F,1881,e,34050,37.10767219
F,1881,f,0,0
F,1881,g,5,0.005448997
F,1881,h,4774,5.202702703
F,1881,i,78,0.085004359
F,1881,j,0,0
F,1881,k,6,0.006538797
F,1881,l,2911,3.172406277
F,1881,m,27,0.029424586
F,1881,n,2933,3.196381866
F,1881,o,49,0.053400174
F,1881,p,0,0
F,1881,q,0,0
F,1881,r,406,0.442458588
F,1881,s,1264,1.377506539
F,1881,t,2156,2.349607672
F,1881,u,427,0.465344377
F,1881,v,0,0
F,1881,w,0,0
F,1881,x,0,0
F,1881,y,10391,11.32410636
F,1881,z,95,0.10353095
F,1882,a,36536,33.94718748
F,1882,b,0,0
F,1882,c,5,0.004645718
F,1882,d,729,0.677345623
F,1882,e,40367,37.50673629
F,1882,f,0,0
F,1882,g,12,0.011149722
F,1882,h,5561,5.16696709
F,1882,i,81,0.075260625
F,1882,j,0,0
F,1882,k,0,0
F,1882,l,3527,3.277089179
F,1882,m,50,0.046457176
F,1882,n,3536,3.285451471
F,1882,o,35,0.032520023
F,1882,p,0,0
F,1882,q,0,0
F,1882,r,578,0.537044952
F,1882,s,1578,1.466188467
F,1882,t,2387,2.217865572
F,1882,u,410,0.380948841
F,1882,v,0,0
F,1882,w,0,0
F,1882,x,0,0
F,1882,y,12128,11.26865256
F,1882,z,106,0.098489213
F,1883,a,38330,34.19634573
F,1883,b,0,0
F,1883,c,5,0.004460781
F,1883,d,797,0.711048462
F,1883,e,41892,37.37420598
F,1883,f,0,0
F,1883,g,8,0.007137249
F,1883,h,5684,5.071015631
F,1883,i,76,0.067803868
F,1883,j,0,0
F,1883,k,0,0
F,1883,l,3848,3.433016915
F,1883,m,46,0.041039183
F,1883,n,3797,3.387516951
F,1883,o,47,0.04193134
F,1883,p,0,0
F,1883,q,0,0
F,1883,r,630,0.562058383
F,1883,s,1742,1.554136036
F,1883,t,2543,2.268753123
F,1883,u,444,0.396117336
F,1883,v,0,0
F,1883,w,0,0
F,1883,x,7,0.006245093
F,1883,y,12051,10.75137392
F,1883,z,141,0.125794019
F,1884,a,43680,33.92278838
F,1884,b,0,0
F,1884,c,0,0
F,1884,d,907,0.704394896
F,1884,e,48049,37.31584384
F,1884,f,0,0
F,1884,g,24,0.018638895
F,1884,h,6593,5.120259702
F,1884,i,84,0.065236131
F,1884,j,0,0
F,1884,k,0,0
F,1884,l,4803,3.730108805
F,1884,m,45,0.034947928
F,1884,n,4467,3.469164279
F,1884,o,74,0.057469925
F,1884,p,0,0
F,1884,q,0,0
F,1884,r,704,0.546740912
F,1884,s,1971,1.530719228
F,1884,t,2818,2.188516888
F,1884,u,490,0.3805441
F,1884,v,0,0
F,1884,w,0,0
F,1884,x,0,0
F,1884,y,13906,10.79968625
F,1884,z,148,0.114939851
F,1885,a,45408,34.19663366
F,1885,b,0,0
F,1885,c,0,0
F,1885,d,852,0.641638739
F,1885,e,49587,37.34382649
F,1885,f,0,0
F,1885,g,11,0.008284068
F,1885,h,6610,4.977971909
F,1885,i,92,0.069284934
F,1885,j,0,0
F,1885,k,0,0
F,1885,l,5133,3.865647475
F,1885,m,42,0.031630079
