Census_Region,Census_Region_Code,Ten_Year_Age_Groups,Gender,Gender_Code,Year,Year_Code,Deaths,Population,Crude_Rate
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,1999,1999,55,322552,17.1
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2000,2000,57,323456,17.6
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2001,2001,55,332439,16.5
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2002,2002,43,326745,13.2
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2003,2003,45,327358,13.7
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2004,2004,43,326976,13.2
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2005,2005,62,317926,19.5
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2006,2006,59,316889,18.6
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2007,2007,79,323096,24.5
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2008,2008,57,321344,17.7
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2009,2009,50,313208,16
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2010,2010,77,308272,25
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2011,2011,64,314207,20.4
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2012,2012,66,308475,21.4
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2013,2013,65,312646,20.8
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2014,2014,49,312023,15.7
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2015,2015,57,310761,18.3
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2016,2016,66,305759,21.6
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2017,2017,57,304386,18.7
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2018,2018,60,297991,20.1
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2019,2019,62,294771,21
Census Region 1: Northeast,CENS-R1,< 1 year,Female,F,2020,2020,57,291595,19.5
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,1999,1999,60,337909,17.8
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2000,2000,77,338930,22.7
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2001,2001,82,347985,23.6
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2002,2002,71,341614,20.8
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2003,2003,71,343489,20.7
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2004,2004,81,342439,23.7
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2005,2005,66,332511,19.8
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2006,2006,84,331795,25.3
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2007,2007,90,338080,26.6
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2008,2008,86,336277,25.6
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2009,2009,88,328905,26.8
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2010,2010,100,322683,31
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2011,2011,78,328952,23.7
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2012,2012,88,323135,27.2
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2013,2013,86,327763,26.2
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2014,2014,63,326068,19.3
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2015,2015,70,325571,21.5
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2016,2016,77,320881,24
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2017,2017,71,319058,22.3
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2018,2018,70,312417,22.4
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2019,2019,81,308930,26.2
Census Region 1: Northeast,CENS-R1,< 1 year,Male,M,2020,2020,82,305056,26.9
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,1999,1999,115,1341785,8.6
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2000,2000,91,1335413,6.8
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2001,2001,105,1310892,8
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2002,2002,77,1308190,5.9
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2003,2003,94,1303398,7.2
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2004,2004,87,1300667,6.7
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2005,2005,74,1293968,5.7
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2006,2006,81,1275658,6.3
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2007,2007,76,1264852,6
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2008,2008,75,1265057,5.9
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2009,2009,69,1265788,5.5
